unit,base,11,12,21,22,23,24,31,32
0,μια,μια,μια,μια,μια,μα,μια,μια,μια
1,δε,δε,δε,δε,[om],δε,δε,δε,δε
2,των,των,των,των,δετων,των,των,των,των
3,σαββατων,σαββατων,σαββατων,σαββατων,σαββατων,σαββατων,σαββατων,σαββατων,σαββατων
4,ορθρου,ορθρου,ορθρου,ορθρου,ορθρου,ορθρον,ορθεν,ορθου,ορθρου
5,βαθεως,βαθεως,βαθεως,βαθεως,βαθεως,βαθεως,βαθεως,βαθεως,βαθεως
6,ηρχοντο,ηρχοντο,ηρχοντο,ηρχοντο,ηρχοντο,ηρχοντο,ηρχοντο,ηρχοντο,ερχοντο
7,επει,επει,επει,επει,επει,επιει,επει,επει,εμει
8,το,το,το,το,το,το,το,το,το
9,μνημα,μνημα,μνημα,μνημα,μνημα,μνημα,μνημα,μνημα,μνημα
10,φαιρουσαι,φαιρουσαι,φαρουσαι,φαιρουσαι,φαιρουσαι,σαρονσαι,φαρουσαι,φαιρουσαι,φαιρουσαι
11,α,α,α,α,α,α,α,α,α
12,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν,ητοιμασαν
13,και,και,και,και,και,και,και,και,και
14,τινες,τινες,τινες,τινες,τινες,τινες,τινες,τινες,τινες
15,συν,συν,συν,συν,συν,συν,συν,συν,συν
16,αυταις,αυταις,αυταις,αυταις,αυταις,αυταις,αυτας,αυταις,αυταις
17,ελογιζοντο,ελογιζοντο,ελογιζοντο,ελογιζοντο,ελογιζοντο,ζοντο,ελογοζοντο,ελογιζοντο,εκογιζοντο
18,δε,δε,δε,δε,δε,δε,δε,δε,δε
19,εν,εν,εν,εν,εν,εν,εν,εν,εν
20,εαυταις,εαυταις,εαυταις,εαυταις,εαυταις,εαυτας,εαυτας,εαυταις,εανταις
21,τις,τις,τις,τις,τις,τις,της,τις,τις
22,αρα,αρα,αρα,αρα,αρα,αρα,αρα,αρα,αποκαλυ
23,αποκαλυψσεν,αποκαλυψσεν,αποκαλυψεν,αποκαλυψεν,αποκαλυψεν,αποκαλυψεν,αποκαλυψεν,αποκαλυψεν,ψεν
24,τον,τον,τον,τον,τον,τον,τον,τον,τον
25,λιθον,λιθον,λιθον,λιθον,λιθον,λιθον,λιθον,λιθον,λιθον
26,ελθουσαι,ελθουσαι,ελθουσαι,ελθουσαι,ελθουσαι,ελθουσαι,ελθουσα,ελθουσαι,ελθονδαι
27,δε,δε,δε,δε,δε,δε,δε,δε,δε
28,ευρον,ευρον,ευρον,ευρον,ευρον,ευρον,ευρον,ευρον,ευρον
29,τον,τον,τον,τον,τον,τον,τον,τον,τον
30,λιθον,λιθον,λιθον,λιθον,λιθον,λιθονα,λιθον,λιθον,λιθον
31,αποκεκυλισμενον,αποκεκυλισμενον,αποκεκυλισμενον,αποκεκυλισμενον,αποκεκυλισμενον,τοκεκλιομενον,αποκεκλισμενον,αποκεκυλισμενον,αποκεκυμενον
32,απο,απο,απο,απο,απο,ανο,απο,απο,απο
33,του,του,του,του,του,του,του,του,του
34,μνημειου,μνημειου,μνημειου,μνημειου,μνημειου,μνμενου,μνημειου,μνημειον,μνημειου
35,εισελθουσαι,εισελθουσαι,εισελθουσαι,εισελθουσαι,εισελθουσαι,εσελθονσαη,εχσελθουσα,εισελθουσαι,εισε
36,δε,δε,δε,δε,δε,δε,δε,δε,δε
37,ουχ,ουχ,ουχ,ουχ,ουχ,ουχ,ουχ,ουχ,ουχ
38,ευρον,ευρον,ευρον,ευρον,ευρον,ευρον,ευροντο,ευρον,ευρον
39,το,το,το,το,το,το,το,το,το
40,σωμα,σωμα,σωμα,σωμα,σωμα,σωμα,σωμα,σωμα,σωμα
41,και,και,και,και,και,και,και,και,και
42,εγενετο,εγενετο,εγενετο,εγενετο,εγενετο,εγενετο,εγενετο,εγενετο,εγενετο
43,εν,εν,εν,εν,εν,εν,εν,εν,εν
44,τω,τω,τω,τω,τω,τω,τω,τω,τω
45,απορεισθαι,απορεισθαι,απορεισθαι,απορεισθαι,απορεισθαι,αδιορεζοθαι,απορεισθας,απορεισθαι,απορεισ
46,αυτας,αυτας,αυτας,αυτας,αυτας,αυτας,αυτος,αυτας,αυτοις
47,περι,περι,περι,περι,περι,περι,περι,περι,περι
48,αυτου,αυτου,αυτου,αυτου,αυτου,αυτου,αυτοσ,αυτου,αυτου
49,ιδου,ιδου,ιδου,ιδου,ιδου,[om],οδου,ιδου,ιδον
50,δυο,δυο,δυο,δυο,δυο,δυο,δυο,δυο,δυο
51,ανδρες,ανδρες,ανδρες,ανδρες,ανδρες,ανδρες,ανδρες,ανδρες,ανδρες
52,επεστησαν,επεστησαν,επεστησαν,επεστησαν,επεστσαν,εσιεζτησαν,επεστησαν,επεστησαν,επεστσαν
53,αυταις,αυταις,αυταις,αυταις,αυταις,αρταης,αυταις,αυταις,αυταις
54,εν,εν,εν,εν,εν,εν,εν,εν,εν
55,εσθητι,εσθητι,εσθητι,εσθητι,εσθητι,εσθητη,εσθητι,εσθητι,εσθητι
56,αστραπτουσει,αστραπτουσει,αστραπτουση,αστραπτουσει,αστραπτουσει,αστρατιτουση,ασραπτουση,αστραπτουσει,αστραοτουσει
57,ενφοβοι,ενφοβοι,φοβοι,ενφοβοι,ενφοβοι,ενφοβοι,ενφοβον,ενφοβοι,ενροβοι
58,δε,δε,δε,δε,δε,δε,δε,δε,δε
59,γενομεναι,γενομεναι,γενομεναι,γενομεναι,γενομεναι,γενομεναι,γενομενας,γενομεναι,χενομεναι
60,εκλειναν,εκλειναν,εκλειναν,εκλειναν,εκλειναν,εναν,εχλειναν,εκλειναν,ειλειναν
61,τα,τα,τα,τα,τα,τα,τα,τα,τα
62,προσωπα,προσωπα,προσωπα,προσωπα,προσωπα,προσωτια,προσωπα,προσωπα,προσωπα
63,εις,εις,εις,εις,εις,εις,εις,εις,εις
64,την,την,την,την,την,την,την,την,την
65,γην,γην,γην,γην,γην,[om],[om],γην,γην
66,οι,οι,οι,οι,οι,οςα,ος,οι,οι
67,δε,δε,δε,δε,δε,ε,δε,δε,δε
68,ειπαν,ειπαν,ειπαν,ειπαν,ειπαν,ετια,ειπαν,ειπαν,ειπαν
69,προς,προς,προς,προς,προς,προς,προς,προς,προς
70,αυτας,αυτας,αυτας,αυτας,αυτας,ανας,αυτας,αυτας,αυταις
71,τι,τι,τι,τι,τι,τι,τι,τι,τι
72,ζητειτε,ζητειτε,ζητειτε,ζητειτε,ζητειτε,ζητετε,ζητειτε,ζητειτε,ζητειτε
73,τον,τον,τον,τον,τον,τον,του,τον,τον
74,ζωντα,ζωντα,ζωντα,ζωντα,ζωντα,ζωτα,ζωντα,ζωντα,ζωντα
75,μετα,μετα,μετα,μετα,μετα,μετα,μετα,μετα,μετα
76,των,των,των,των,των,των,των,των,των
77,νεκρων,νεκρων,νεκρων,νεκρων,vεκρων,vεκρων,νεκρων,νεκρων,vεκρων
78,μνησθητε,μνησθητε,μνησθητε,μνησθητε,μνησθητε,μνησθητε,μνησθετε,μνησθητε,μνησθητε
79,δε,δε,δε,δε,δε,δε,ος,δε,δε
80,οσα,οσα,οσα,οσα,οσα,οσα,οσα,οσα,οσα
81,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν,ελαλησεν
82,υμειν,υμειν,υμειν,υμειν,υμειν,μειν,υμειν,υμειν,υμειν
83,ετι,ετι,ετι,ετι,ετι,ετι,ετι,ετι,ετι
84,ων,ων,ων,ων,ων,ων,ων,ων,ων
85,εν,εν,εν,εν,εν,εν,εν,εν,εν
86,τη,τη,τη,τη,τη,τη,τη,τη,τη
87,γαλιλαια,γαλιλαια,γαλιλαια,γαλιλαια,γαλιλαια,αλιλχα,γαλιλαια,γαλιλαια,γαλιλαια
88,οτι,οτι,οτι,οτι,οτι,ο,οτι,οτι,οτι
89,δει,δει,δει,δει,δει,δει,δει,δει,δει
90,τον,τον,τον,τον,τον,τον,τον,τον,τον
91,υιον,υιον,υιον,υιον,υιον,ον,υιον,υιον,υιον
92,του,του,του,του,του,τον,του,του,του
93,ανθρωπου,ανθρωπου,ανθρωπου,ανθρωπου,ανθρωπου,ανθρωπον,ανθρωπου,ανθρωπου,ανδρωπου
94,παραδοθηναι,παραδοθηναι,παραδοθηναι,παραδοθηναι,παραδοθηναι,διαραδοθηνα,δοθηναι,παραδοθηναι,παραδοθηναι
95,εις,εις,εις,εις,εις,εις,εις,εις,εις
96,χειρας,χειρας,χειρας,χειρας,χειρας,χειρας,χειρας,χειρας,ς
97,ανθρωπων,ανθρωπων,ανθρωπων,ανθρωπων,ανθρωπων,ανθρωπων,ανθρωπως,ανθρωπων,ανδρωπων
98,και,και,και,και,και,και,και,και,και
99,σταυρωθηναι,σταυρωθηναι,σταρωθηναι,σταρωθηναι,σταυρωθηναι,σταυρωθηνας,στυρωθηναι,σταυροθηναι,σταυρωθηναι
100,και,και,και,και,και,και,και,και,και
101,εν,εν,τη,[om],εν,τη,τη,εν,εν
102,τριτη,τριτη,τριτη,τριτη,τριτη,τρπη,τριτη,τριτη,τριτη
103,μηερα,μηερα,ημερα,μηερα,μηερα,ημερα,ημερα,ημερα,μηερα
104,αναστηναι,αναστηναι,αναστηναι,αναστηναι,αναστηναι,αναστηναι,αναστηναι,αναστηναι,αναστηναι
105,και,και,και,και,και,και,και,και,και
106,εμνησθησαν,εμνησθησαν,εμνησθησαν,εμνησθησαν,εμνησθησαν,ησθησαν,εμνησθησαν,εμνησθησαν,εμνησθησαν
107,των,των,των,των,των,των,των,των,των
108,ρηματων,ρηματων,ρηματων,ρηματων,ρηματων,ρηματων,ρηματων,ρηματων,ρηματων
109,αυτου·,αυτου·,αυτου,αυτου·,αυτου·,αυτου,αυτου,αυτου·,αυτου
110,και,και,και,και,και,και,και,και,και
111,υποστρεψασαι,υποστρεψασαι,υποστρεψασαι,υποστρεψασαι,υποσερεψασαι,ψασαι,στρεψασαι,υποστρεψασαι,υποστρεψα
