unit,base,witness,reading,tier,major,minor
0,μια,23,μα,mechanical,mechanical,single-letter-slip
1,δε,22,[om],substantive,substantive,omission
2,των,22,δετων,substantive,substantive,lexical-substitution
4,ορθρου,23,ορθρον,mechanical,mechanical,single-letter-slip
4,ορθρου,24,ορθεν,substantive,substantive,lexical-substitution
4,ορθρου,31,ορθου,mechanical,mechanical,single-letter-slip
6,ηρχοντο,32,ερχοντο,mechanical,mechanical,single-letter-slip
7,επει,23,επιει,orthographic,orthographic,gemination
7,επει,32,εμει,mechanical,mechanical,single-letter-slip
10,φαιρουσαι,12,φαρουσαι,mechanical,mechanical,single-letter-slip
10,φαιρουσαι,23,σαρονσαι,substantive,substantive,lexical-substitution
10,φαιρουσαι,24,φαρουσαι,mechanical,mechanical,single-letter-slip
16,αυταις,24,αυτας,mechanical,mechanical,single-letter-slip
17,ελογιζοντο,23,ζοντο,substantive,substantive,lexical-substitution
17,ελογιζοντο,24,ελογοζοντο,mechanical,mechanical,single-letter-slip
17,ελογιζοντο,32,εκογιζοντο,mechanical,mechanical,single-letter-slip
20,εαυταις,23,εαυτας,mechanical,mechanical,single-letter-slip
20,εαυταις,24,εαυτας,mechanical,mechanical,single-letter-slip
20,εαυταις,32,εανταις,mechanical,mechanical,single-letter-slip
21,τις,24,της,orthographic,orthographic,vowel-interchange
22,αρα,32,αποκαλυ,substantive,substantive,lexical-substitution
23,αποκαλυψσεν,12,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,21,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,22,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,23,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,24,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,31,αποκαλυψεν,mechanical,mechanical,single-letter-slip
23,αποκαλυψσεν,32,ψεν,substantive,substantive,lexical-substitution
26,ελθουσαι,24,ελθουσα,mechanical,mechanical,single-letter-slip
26,ελθουσαι,32,ελθονδαι,mechanical,mechanical,minor-corruption
30,λιθον,23,λιθονα,mechanical,mechanical,single-letter-slip
31,αποκεκυλισμενον,23,τοκεκλιομενον,substantive,substantive,lexical-substitution
31,αποκεκυλισμενον,24,αποκεκλισμενον,mechanical,mechanical,single-letter-slip
31,αποκεκυλισμενον,32,αποκεκυμενον,substantive,substantive,lexical-substitution
32,απο,23,ανο,mechanical,mechanical,single-letter-slip
34,μνημειου,23,μνμενου,mechanical,mechanical,minor-corruption
